G1	01.fna
G2	02.fna
G3	03.fna
G4	04.fna
G5	05.fna
G6	06.fna
G7	07.fna
G8	08.fna
G9	09.fna
G10	10.fna
G11	11.fna
G12	12.fna
G13	13.fna
G14	14.fna
G15	15.fna
G16	16.fna
G17	17.fna
G18	18.fna
G19	19.fna
G20	20.fna
G21	21.fna
G22	22.fna
G23	23.fna
G24	24.fna
G25	25.fna
G26	26.fna
G27	27.fna
G28	28.fna
G29	29.fna
G30	30.fna
G31	31.fna
G32	32.fna
G33	33.fna
G34	34.fna
G35	35.fna
G36	36.fna
G37	37.fna
G38	38.fna
G39	39.fna
G40	40.fna
G41	41.fna
G42	42.fna
G43	43.fna
G44	44.fna
G45	45.fna
G46	46.fna
G47	47.fna
G48	48.fna
G49	49.fna
G50	50.fna
