G1	43.fna
G2	48.fna
G3	44.fna
G4	49.fna
G5	50.fna
G6	42.fna
G7	45.fna
G8	47.fna
G9	23.fna
G10	27.fna
G11	24.fna
G12	30.fna
G13	34.fna
G14	11.fna
G15	33.fna
G16	32.fna
G17	31.fna
G18	26.fna
G19	25.fna
G20	21.fna
G21	37.fna
G22	40.fna
G23	28.fna
G24	06.fna
G25	38.fna
G26	39.fna
G27	07.fna
G28	22.fna
G29	18.fna
G30	19.fna
G31	36.fna
G32	05.fna
G33	35.fna
G34	04.fna
G35	17.fna
G36	16.fna
G37	20.fna
G38	41.fna
G39	15.fna
G40	14.fna
G41	29.fna
G42	02.fna
G43	46.fna
G44	03.fna
G45	08.fna
G46	01.fna
G47	09.fna
G48	10.fna
G49	13.fna
G50	12.fna
