1	1.fna	2.fna	3.fna	4.fna	5.fna	6.fna	7.fna	8.fna	9.fna	10.fna	11.fna	12.fna	13.fna	14.fna	15.fna	16.fna	17.fna	18.fna	19.fna	20.fna	21.fna	22.fna	23.fna	24.fna	25.fna	26.fna	27.fna	28.fna	29.fna	30.fna	31.fna	32.fna	33.fna	34.fna	35.fna	36.fna	37.fna	38.fna	39.fna	40.fna	41.fna	42.fna	43.fna	44.fna	45.fna	46.fna	47.fna	48.fna	49.fna	50.fna
01.fna	0.005579	0.000000	0.000000	0.019664	0.015352	0.004118	0.000000	0.000000	0.000000	0.016432	0.000000	0.000000	0.000000	0.019168	0.035168	0.000000	0.000000	0.000000	0.000000	0.000000	0.032681	0.008047	0.022617	0.002313	0.029933	0.018001	0.025776	0.001683	0.006290	0.004915	0.006654	0.020348	0.000000	0.010599	0.010937	0.021220	0.012345	0.042490	0.008985	0.000000	0.018069	0.616239	0.020259	0.662560	0.000000	1	0.001438	0.000000	0.000000	0.000000
02.fna	0.014804	0.011600	0.001836	0.027617	0.018465	0.000576	0.018282	0.018282	0.000000	0.012524	0.000000	0.000000	0.000000	0.017858	0.025871	0.000000	0.000000	0.000000	0.000000	0.000000	0.040585	0.020209	0.045503	0.000000	0.011266	0.033309	0.004582	0.025122	0.000000	0.000000	0.021544	0.034070	0.014911	0.014669	0.012180	0.026193	0.003756	0.025216	0.000000	0.009942	0.000000	1	0.038819	0.917612	0.000000	0.616239	0.000000	0.000000	0.000764	0.010366
03.fna	0.005046	0.016964	0.000000	0.027489	0.018052	0.000000	0.019301	0.019301	0.000000	0.015102	0.000000	0.000000	0.000000	0.026091	0.035288	0.000000	0.000629	0.000000	0.000000	0.000000	0.051034	0.018336	0.048534	0.004512	0.024029	0.038140	0.011436	0.027040	0.000000	0.000000	0.024156	0.039650	0.016999	0.021809	0.013843	0.026417	0.000000	0.035763	0.000000	0.003920	0.000000	0.917612	0.033649	1	0.000000	0.662560	0.000000	0.000000	0.009658	0.014540
04.fna	0.008058	0.001805	0.037910	0.004940	0.000000	0.012312	0.000000	0.000000	0.000000	0.023013	0.000000	0.003209	0.000000	0.000000	0.029303	0.024245	0.024901	0.000000	0.000000	0.000000	0.009195	0.008950	0.000000	0.034462	0.001157	0.008591	0.001793	0.002187	0.000000	0.000000	0.007264	0.017192	0.000000	1	0.000000	0.000000	0.000000	0.014977	0.001186	0.000000	0.019398	0.014669	0.019080	0.021809	0.004063	0.010599	0.000000	0.000000	0.000000	0.005698
05.fna	0.019696	0.002922	0.010546	0.008681	0.024226	0.047374	0.003567	0.003567	0.000000	0.000000	0.000000	0.000000	0.000000	0.004220	0.000000	0.000000	0.000000	0.000000	0.000000	0.002683	0.028630	0.021568	0.007459	0.036252	0.000000	0.000000	0.008359	0.019052	0.000000	0.000000	0.017438	1	0.006108	0.017192	0.000000	0.008558	0.000000	0.000000	0.000000	0.000000	0.000000	0.034070	0.006150	0.039650	0.009323	0.020348	0.033102	0.031855	0.012086	0.002205
06.fna	0.020931	0.000000	0.000000	0.019656	0.019777	0.015334	0.000000	0.000000	0.000000	0.003482	0.000000	0.000000	0.000000	0.000000	0.000000	0.018127	0.018748	0.000000	0.000000	0.007955	0.010493	0.014608	0.000000	1	0.000000	0.004332	0.002865	0.000000	0.000000	0.000000	0.009355	0.036252	0.000000	0.034462	0.005745	0.032315	0.000000	0.000000	0.005630	0.028470	0.000000	0.000000	0.010824	0.004512	0.000000	0.002313	0.006080	0.007734	0.000000	0.002841
07.fna	0.013888	0.000000	0.002055	0.018242	0.017406	0.013574	0.026996	0.026996	0.000000	0.000000	0.000000	0.000000	0.000000	0.016899	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028425	0.000000	0.000000	0.002865	0.018037	0.013814	1	0.000000	0.000000	0.000000	0.000000	0.008359	0.013119	0.001793	0.013979	0.000000	0.000000	0.027870	0.000000	0.000000	0.001867	0.004582	0.000000	0.011436	0.000000	0.025776	0.016769	0.009503	0.008412	0.000000
08.fna	0.003390	0.000000	0.000000	0.000000	0.000000	0.002810	0.000000	0.000000	0.018090	0.060537	0.015418	0.018797	0.000000	0.004587	0.000983	0.004117	0.004851	0.006080	0.004054	0.000000	0.010748	0.014359	0.000000	0.000000	0.000988	0.000000	0.000000	0.000000	0.000000	0.000000	0.009044	0.009323	0.023926	0.004063	0.000000	0.000000	0.000000	0.013572	0.000000	0.000000	0.000000	0.000000	0.000282	0.000000	1	0.000000	0.021208	0.020983	0.000000	0.006744
09.fna	0.000000	0.006096	0.037272	0.000000	0.000000	0.013079	0.021050	0.021050	0.024316	0.000562	0.023580	0.000000	0.000000	0.000000	0.035585	0.005856	0.006598	0.000000	0.000000	0.000000	0.005255	0.002953	0.000000	0.006080	0.000000	0.000000	0.016769	0.000000	0.001448	0.000931	0.019464	0.033102	0.000794	0.000000	0.000000	0.015436	0.011603	0.008947	0.016107	0.009029	0.015450	0.000000	0.000000	0.000000	0.021208	0.001438	1	0.951102	0.009120	0.020404
10.fna	0.000000	0.008194	0.039909	0.000000	0.000000	0.018136	0.026871	0.026871	0.036633	0.000000	0.035590	0.000000	0.000000	0.000000	0.041245	0.003514	0.004262	0.000000	0.000000	0.000000	0.000638	0.006977	0.000000	0.007734	0.000000	0.000000	0.009503	0.000000	0.000000	0.000000	0.013580	0.031855	0.000000	0.000000	0.000000	0.011859	0.005012	0.000000	0.013186	0.010581	0.023456	0.000000	0.000000	0.000000	0.020983	0.000000	0.951102	1	0.014704	0.018404	
